p cnf 5000 7500
4775 -1647 -1427 0
1720 58 3984 0
4345 -4582 2451 0
-663 -2751 3560 0
4751 3731 -3449 0
741 566 1747 0
3532 4101 1878 0
-1832 2076 -2329 0
-2822 -1202 280 0
3359 -2006 545 0
2919 -796 949 0
1358 -656 -355 0
349 -3344 -2258 0
588 107 -568 0
2560 3138 2257 0
2950 1273 -852 0
-3467 -3267 589 0
-3348 589 -1584 0
-3420 -2387 3057 0
-3312 1411 3186 0
-1442 -4890 494 0
4550 1535 -4184 0
1882 1955 3712 0
622 2924 3044 0
-4260 2055 -2371 0
4724 -1843 708 0
4483 2997 1412 0
-3983 1523 -3094 0
2364 31 1021 0
-1492 684 4457 0
2131 4883 4007 0
-1365 4864 -3507 0
796 -2049 1207 0
1269 -34 -2238 0
-44 185 -4702 0
1202 826 1587 0
378 -4674 1166 0
4154 3917 -3527 0
-491 -4077 211 0
1732 2383 -3375 0
3538 -73 -3737 0
3708 4575 4670 0
-4475 -1004 4326 0
4909 3741 287 0
1363 2833 965 0
2139 3040 4485 0
-4119 4851 3988 0
335 3429 1174 0
4458 -4216 -3500 0
2603 133 2623 0
16 -3972 2698 0
570 4725 1063 0
2671 378 4211 0
2978 -1153 1228 0
-4215 4946 -531 0
2614 -2336 -62 0
-2020 3376 -2345 0
4996 -1914 3225 0
-1537 1538 -2416 0
650 3877 591 0
1584 3834 275 0
-2691 18 -4408 0
-4957 4597 -3809 0
4226 3737 3492 0
2796 2326 88 0
4612 -4752 4380 0
-4060 4272 1346 0
-4989 -4557 444 0
4851 47 4807 0
4732 2127 -1084 0
4932 2812 1849 0
2482 4148 4129 0
4612 -559 -4762 0
4859 1165 -2384 0
-2651 -1879 4882 0
-1444 230 -3226 0
4578 3205 3968 0
-990 4210 264 0
-2868 2334 3341 0
789 -1732 1929 0
-166 -2419 4341 0
2673 536 -4792 0
201 -2130 1297 0
3969 -4950 -2731 0
1661 3573 455 0
-2223 2387 -2238 0
3794 633 4601 0
-2822 4464 4759 0
1003 3203 2185 0
-477 4721 2593 0
-2986 4963 -1760 0
-3357 618 -4468 0
-4459 4206 -1602 0
585 -917 1164 0
3794 2296 1160 0
327 642 1500 0
-1570 36 39 0
1759 893 2896 0
4218 920 4850 0
-3334 581 -3284 0
3492 -3201 2278 0
3908 4382 652 0
3975 1780 4963 0
-4774 1960 -1570 0
383 309 4017 0
-3028 -4803 112 0
-4022 211 -443 0
-330 3564 4397 0
4775 2600 -2797 0
-1879 -492 2747 0
-1440 954 2663 0
4703 2133 644 0
436 1410 3510 0
3481 841 2378 0
-1563 -1192 1297 0
4855 2783 4029 0
-939 933 -1598 0
-4959 -385 936 0
-1373 -3925 936 0
-2664 992 2312 0
4729 748 3422 0
4735 -2635 1309 0
4038 890 -503 0
1204 2310 -638 0
-1792 -4629 3014 0
1537 4405 481 0
682 -1101 -1384 0
2625 -2424 1271 0
774 4480 4625 0
2290 789 4912 0
3420 -1661 -360 0
-3595 1986 4968 0
4356 -4267 -1034 0
1456 -4359 -1134 0
1205 -3303 4872 0
4396 387 1613 0
2278 4862 -2131 0
3843 -2924 3802 0
3089 3050 4733 0
4375 2107 4378 0
-3775 1655 3682 0
4189 838 1367 0
2735 881 -1165 0
3841 633 3150 0
3744 1941 3076 0
2881 -1632 4145 0
-3048 999 -2610 0
4703 -3545 -1668 0
2463 3315 883 0
132 3174 3550 0
-4445 -3896 4894 0
528 -1969 2725 0
497 1581 3211 0
3010 809 1831 0
-4245 4547 -920 0
513 2839 643 0
1847 4550 3013 0
3017 2055 1180 0
1893 553 2010 0
-1163 2066 -4053 0
162 902 766 0
2924 3161 3392 0
2859 2402 2008 0
3976 1578 908 0
3959 1929 144 0
2080 -4341 2772 0
1247 4443 4567 0
4094 -1444 420 0
-1036 -2579 715 0
4774 4265 -1612 0
3433 384 1584 0
4084 170 -1062 0
-4165 2810 36 0
-2538 -863 1430 0
-1593 -2865 709 0
605 1682 2656 0
-1137 -3493 4144 0
1426 -4186 1194 0
-4733 1810 -2732 0
1126 1366 1275 0
-1386 4134 1966 0
-3508 -4350 3020 0
-415 -3883 3108 0
4007 248 1225 0
2899 -2175 4453 0
3749 2379 2504 0
1351 -1687 3413 0
1937 -4606 -2000 0
1810 -1717 4800 0
4151 -2576 3059 0
688 4152 959 0
1594 4724 2222 0
1048 4302 -1878 0
-498 1284 -1048 0
1561 2471 1107 0
824 2310 2806 0
2029 3906 1217 0
3558 2243 -1837 0
4252 -2150 -698 0
2478 3621 -3886 0
4647 -1206 -783 0
-2845 -2946 1627 0
3969 929 3200 0
-3094 -4995 4225 0
221 -4550 -27 0
-3380 2884 -4766 0
2546 3538 -2934 0
3454 3091 1438 0
3713 3858 1721 0
3922 -1472 1943 0
-1415 4260 -3706 0
-3901 3733 -4965 0
2232 1511 -703 0
2953 1363 4914 0
3157 1522 1051 0
3095 2060 1739 0
-1467 306 -2280 0
3922 4370 1956 0
4134 -1507 1556 0
1443 1242 -1471 0
3901 4266 3621 0
-3973 3572 3674 0
932 1675 -790 0
312 -3039 1812 0
-3355 4035 -1176 0
1456 -4699 -2667 0
-1742 1113 -2 0
-2165 -1008 3305 0
1578 992 467 0
2902 -1163 1641 0
1244 4937 240 0
1715 1539 4035 0
3286 3785 3648 0
-4135 4137 4223 0
2761 3660 2693 0
2017 1678 3728 0
1672 2747 2110 0
-2929 1643 2685 0
4625 462 2091 0
3062 3382 -2950 0
1652 1754 1907 0
2389 681 1964 0
2383 3569 631 0
-1336 881 -2261 0
-2798 2949 -4871 0
4940 -1983 -3350 0
1823 3194 4685 0
-4755 4320 3354 0
2682 139 3510 0
1456 2339 200 0
2912 -4767 409 0
-1152 622 1818 0
4193 -2578 913 0
2935 -2128 -4727 0
-4073 565 1809 0
-4354 965 507 0
687 4028 981 0
4409 1763 3074 0
485 1950 1549 0
-3264 -1034 427 0
2046 2922 1210 0
2443 2912 2284 0
1294 2114 2472 0
3213 3611 3292 0
-2818 -3179 3849 0
154 3575 860 0
3972 3530 -3169 0
-161 -3109 4996 0
4099 -1480 2 0
4109 -1989 3014 0
4882 821 3823 0
3306 2065 1997 0
872 4996 1485 0
3231 1879 4554 0
331 4869 88 0
1946 1044 2464 0
898 3845 3386 0
-1684 1948 -3710 0
2730 3795 2821 0
484 2850 4664 0
2539 -3176 11 0
4619 2826 3934 0
-108 1500 2306 0
-43 220 -1057 0
1283 -1194 3775 0
-4341 -3445 3683 0
-1013 3732 -3976 0
2699 586 543 0
-2689 3614 4420 0
2580 924 688 0
734 1331 3044 0
3211 3439 -508 0
4853 3225 -1876 0
3816 4220 2805 0
2879 -2522 4364 0
-2329 -3046 2107 0
4117 687 3736 0
4444 4756 2592 0
661 -1139 997 0
4775 3227 1837 0
3737 1427 -4341 0
4976 4294 3899 0
1180 3176 2425 0
4756 -1258 -36 0
3661 -245 15 0
560 3096 2551 0
-605 3609 -854 0
4603 1599 223 0
2774 4538 653 0
4459 4697 947 0
1038 2933 3977 0
-4671 528 2683 0
4007 1235 2660 0
-1542 -3601 852 0
2908 -3865 4402 0
1757 -1044 -3063 0
-2061 2362 2499 0
-3997 2700 1927 0
-3476 3052 2153 0
2615 -1092 -2350 0
1260 3060 -3994 0
-744 4746 27 0
1554 -2387 -507 0
2699 514 1621 0
4613 -4470 2812 0
-3622 2726 -3309 0
2949 -2956 -1930 0
219 4167 1684 0
3228 -4162 12 0
-4391 -2424 684 0
811 -2836 1715 0
3308 2589 2727 0
-4445 1344 76 0
1388 -3363 -19 0
4827 -4054 -3222 0
479 -4454 -3807 0
1369 791 -1311 0
-3602 1854 3554 0
4879 72 -562 0
3041 -2058 2160 0
-2614 4192 -2771 0
3689 4189 4935 0
684 2938 4375 0
-3316 3195 4435 0
-4589 2487 -3484 0
-2373 -4356 260 0
-1748 4939 -3064 0
1041 -437 545 0
4533 -3946 63 0
-3859 615 -1042 0
2693 2747 -1829 0
-3068 1832 -3229 0
1643 2359 440 0
201 1750 4367 0
504 2329 4803 0
1563 4013 -771 0
-4339 4744 -3443 0
2629 4282 369 0
4985 3183 4240 0
3695 4820 1017 0
2260 -3022 -4109 0
-4215 -1820 3121 0
912 4174 -2326 0
138 1623 -1344 0
4100 1826 4320 0
-3180 1807 -2719 0
-1447 -4054 4334 0
2249 285 -4058 0
2267 -317 -121 0
-1270 1806 -4935 0
2384 -436 -3589 0
4757 459 1055 0
2070 3293 -1773 0
-2986 3447 -76 0
-1746 3616 1511 0
772 229 424 0
-3659 2418 -1180 0
-588 2053 1299 0
-3657 3781 -3519 0
-4122 3304 2678 0
3178 3209 -250 0
170 721 1935 0
-1302 4123 3324 0
2791 128 1006 0
4375 319 -3537 0
4699 2394 1686 0
2840 -648 -1280 0
-891 -2060 3066 0
-2404 3471 -421 0
1767 3504 2578 0
-4801 3992 -2638 0
3488 3612 1218 0
891 -1343 -603 0
4226 4717 4266 0
3353 3903 2304 0
4945 1759 -3777 0
1488 1109 4124 0
-3164 3701 -394 0
3875 390 3588 0
3023 -1462 4108 0
2021 4525 3366 0
-264 236 1431 0
1453 1684 -2766 0
1810 2259 4283 0
827 -351 2627 0
3872 1493 2509 0
4104 2895 -4250 0
2824 -930 4391 0
1478 4049 -3769 0
-3797 -16 4190 0
2265 3529 1996 0
4001 -2722 -1126 0
3946 608 2083 0
-4118 -2004 1275 0
1457 -1559 1344 0
823 -4387 4144 0
941 -1289 930 0
2129 848 -4685 0
-1397 4752 -955 0
-2199 90 1239 0
-3402 -1026 3971 0
4562 4892 -762 0
4165 3331 1807 0
-3471 297 2342 0
4512 2805 -1163 0
124 790 3914 0
1368 -1442 3998 0
4898 -4399 -588 0
2485 1393 979 0
1968 85 1579 0
426 -2266 2248 0
-287 -1246 3335 0
1407 -875 3616 0
3734 -2385 1329 0
306 3536 2996 0
866 -771 1460 0
4818 -3036 3774 0
3849 67 2720 0
695 1020 -3045 0
-947 3149 -831 0
1353 122 -356 0
1467 351 1020 0
454 -1348 -3607 0
-3108 3193 551 0
-4807 784 2625 0
472 2230 3152 0
4510 50 4743 0
-3468 -2291 4588 0
-990 4292 -4930 0
-3071 -4715 1233 0
3170 182 629 0
2161 -398 -14 0
4441 3025 -917 0
444 3262 3248 0
-2335 2692 1932 0
4091 766 1509 0
-2816 3875 125 0
