p cnf 3000 10000
1759 2802 2287 0
-1098 1891 896 0
2540 2707 -2901 0
-1241 90 1385 0
-978 -886 2380 0
2122 -972 1354 0
130 -572 344 0
954 2420 1078 0
713 2144 1091 0
-1856 169 768 0
854 1694 1059 0
1519 1138 2405 0
1893 -474 -352 0
-1915 354 -2281 0
1567 -1658 2221 0
137 263 2141 0
2265 457 2821 0
-2787 119 1068 0
2912 234 1745 0
92 -79 -1753 0
1821 1247 1968 0
1343 -1361 2941 0
1332 863 2585 0
-248 331 -2579 0
-2763 2490 2910 0
1836 -1259 2414 0
-46 -808 2125 0
-1660 1693 -1435 0
-86 1675 -1696 0
95 -2005 773 0
1695 -1877 -1319 0
1745 -2331 -1853 0
-1096 -854 248 0
1037 2186 330 0
-367 1977 -2206 0
658 510 1861 0
2239 975 2725 0
298 -2475 1310 0
-1017 804 -1097 0
1429 2881 2906 0
1259 -2693 2847 0
1105 -106 2874 0
-2779 510 1184 0
1784 959 1517 0
-2117 -1586 2977 0
-428 -1040 1083 0
1950 -332 -1727 0
2765 -2133 2977 0
-2275 757 2104 0
140 1369 2647 0
2749 695 428 0
1587 2179 -1305 0
1047 1497 57 0
-2198 -2279 517 0
-2920 -2726 1380 0
679 1509 843 0
1924 2494 -2040 0
-2047 794 495 0
1855 -1745 -2125 0
1552 -1621 1284 0
2958 -2186 2773 0
-1334 2035 2516 0
1618 628 1417 0
2634 1053 1103 0
1282 2121 805 0
2413 2457 1860 0
1493 2691 -463 0
-779 1977 2912 0
-122 -2035 654 0
-40 1989 -1532 0
1850 -979 287 0
1714 1079 1764 0
2306 2051 1868 0
695 526 190 0
-1186 2476 2370 0
-507 1893 2899 0
-1658 -2355 2779 0
1987 1292 2925 0
-817 -895 698 0
739 1610 -143 0
-2088 186 2427 0
1215 2868 2164 0
141 -1189 2214 0
-1043 -1364 700 0
1890 635 1963 0
926 -161 -1631 0
820 -626 1394 0
2782 571 876 0
-463 1507 1287 0
-227 1605 -2603 0
2338 1651 146 0
2453 -2063 -1426 0
734 1741 -588 0
1737 1068 2689 0
-751 916 -899 0
848 1890 2123 0
1482 -1714 -2290 0
1856 2269 -2472 0
-1400 2623 517 0
1547 -1262 -270 0
1664 2783 -283 0
69 401 1892 0
2386 642 -651 0
-2666 2261 1452 0
872 -2678 -1076 0
1727 -1081 775 0
2831 796 1420 0
-1980 -849 297 0
-1677 2058 -40 0
-829 291 -972 0
487 2558 2020 0
