p cnf 3000 5000
2210 60 2493 0
1699 1198 1206 0
2803 -2126 2629 0
2732 -978 -2789 0
2001 2840 1862 0
353 2614 1246 0
2851 -1880 1000 0
2658 1257 1867 0
-613 -1385 41 0
945 2977 1029 0
-2462 2250 387 0
2825 -1034 2406 0
2406 2606 373 0
-179 1649 -2090 0
2804 141 1657 0
212 -2187 -2386 0
-353 1190 -2115 0
1108 798 1972 0
58 2344 2765 0
-554 592 -327 0
1209 -1298 -2639 0
847 1330 2536 0
722 1834 2415 0
137 333 -2820 0
-457 -1155 139 0
1834 2697 1420 0
-128 -678 2651 0
1179 2104 -1896 0
631 -528 -2242 0
-81 -2252 682 0
1818 -821 -723 0
181 2794 914 0
2232 394 1564 0
1277 2071 2691 0
741 -395 -1917 0
-1670 -944 542 0
2825 2006 2870 0
-1821 740 -1814 0
2121 -2068 2425 0
216 -1963 1115 0
2787 -1562 731 0
2942 2015 2008 0
106 -524 327 0
-1633 -1230 1050 0
-2272 -454 1206 0
2129 1591 2431 0
2742 2730 379 0
-1487 1093 419 0
82 -365 -387 0
-2967 -114 832 0
668 2017 -1366 0
-1953 -1729 576 0
2395 1126 2795 0
1141 -128 1345 0
2356 -22 2666 0
-2404 1477 -667 0
385 2303 1009 0
2680 789 680 0
2773 2281 -2414 0
2904 2357 2845 0
-2274 2031 2868 0
-1344 -255 570 0
681 2156 2761 0
193 -1090 2497 0
106 1692 -910 0
2228 -110 2680 0
-1126 2130 -990 0
732 701 1888 0
2524 1994 812 0
1642 1125 2560 0
2299 915 2720 0
-912 2019 409 0
-1201 1396 -1254 0
-1610 65 672 0
2923 -454 -206 0
785 1127 2463 0
-709 155 2593 0
466 308 1638 0
1126 2691 1886 0
1085 1226 -1847 0
2466 1559 211 0
1038 1051 -954 0
-1357 -2458 2328 0
2907 -2237 215 0
2958 2052 -125 0
-1291 -2548 2190 0
679 1498 274 0
1449 -1076 2858 0
799 1961 149 0
145 -1532 711 0
-1592 636 776 0
2221 2281 2049 0
-2470 -1603 1552 0
-2347 990 576 0
